scene,operator,exposure_sensitivity_index
C:\hdr_perceptual\data\hdr_exr\Hall of Fame.exr,reinhard,0.3237796723842621
C:\hdr_perceptual\data\hdr_exr\Hall of Fame.exr,drago,0.08237345516681671
C:\hdr_perceptual\data\hdr_exr\Hall of Fame.exr,filmic,0.5796954035758972
C:\hdr_perceptual\data\hdr_exr\Hall of Fame.exr,gamma,1.5568958520889282
C:\hdr_perceptual\data\hdr_exr\Hall of Fame.exr,reinhard_local,0.2712700068950653
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Inside.exr,reinhard,1.1094253063201904
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Inside.exr,drago,0.8705253601074219
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Inside.exr,filmic,1.3035523891448975
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Inside.exr,gamma,0.4138616919517517
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Inside.exr,reinhard_local,1.1045175790786743
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Outside.exr,reinhard,0.42677873373031616
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Outside.exr,drago,0.24643416702747345
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Outside.exr,filmic,0.23502957820892334
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Outside.exr,gamma,1.439709186553955
C:\hdr_perceptual\data\hdr_exr\Hancock Kitchen Outside.exr,reinhard_local,0.16666947305202484
C:\hdr_perceptual\data\hdr_exr\Hancock Seed Field.exr,reinhard,0.6151121258735657
C:\hdr_perceptual\data\hdr_exr\Hancock Seed Field.exr,drago,0.1780328005552292
C:\hdr_perceptual\data\hdr_exr\Hancock Seed Field.exr,filmic,0.9261882901191711
C:\hdr_perceptual\data\hdr_exr\Hancock Seed Field.exr,gamma,0.6188549399375916
C:\hdr_perceptual\data\hdr_exr\Hancock Seed Field.exr,reinhard_local,0.362038254737854
C:\hdr_perceptual\data\hdr_exr\Hoover Dam.exr,reinhard,0.480211079120636
C:\hdr_perceptual\data\hdr_exr\Hoover Dam.exr,drago,0.09655818343162537
C:\hdr_perceptual\data\hdr_exr\Hoover Dam.exr,filmic,0.28868797421455383
C:\hdr_perceptual\data\hdr_exr\Hoover Dam.exr,gamma,1.6865496635437012
C:\hdr_perceptual\data\hdr_exr\Hoover Dam.exr,reinhard_local,0.33209505677223206
C:\hdr_perceptual\data\hdr_exr\Hoover Garage.exr,reinhard,1.0472779273986816
C:\hdr_perceptual\data\hdr_exr\Hoover Garage.exr,drago,0.8859923481941223
C:\hdr_perceptual\data\hdr_exr\Hoover Garage.exr,filmic,1.256690263748169
C:\hdr_perceptual\data\hdr_exr\Hoover Garage.exr,gamma,0.3112904131412506
C:\hdr_perceptual\data\hdr_exr\Hoover Garage.exr,reinhard_local,1.0489766597747803
C:\hdr_perceptual\data\hdr_exr\Jesse Brown's Cabin.exr,reinhard,0.3610231578350067
C:\hdr_perceptual\data\hdr_exr\Jesse Brown's Cabin.exr,drago,0.4159030616283417
C:\hdr_perceptual\data\hdr_exr\Jesse Brown's Cabin.exr,filmic,0.3017619252204895
C:\hdr_perceptual\data\hdr_exr\Jesse Brown's Cabin.exr,gamma,2.2291946411132812
C:\hdr_perceptual\data\hdr_exr\Jesse Brown's Cabin.exr,reinhard_local,0.1711084544658661
C:\hdr_perceptual\data\hdr_exr\Kings Canyon.exr,reinhard,0.3545687794685364
C:\hdr_perceptual\data\hdr_exr\Kings Canyon.exr,drago,0.2283211201429367
C:\hdr_perceptual\data\hdr_exr\Kings Canyon.exr,filmic,0.3651182949542999
C:\hdr_perceptual\data\hdr_exr\Kings Canyon.exr,gamma,2.258563995361328
C:\hdr_perceptual\data\hdr_exr\Kings Canyon.exr,reinhard_local,0.26533937454223633
C:\hdr_perceptual\data\hdr_exr\Lab Booth.exr,reinhard,0.19726046919822693
C:\hdr_perceptual\data\hdr_exr\Lab Booth.exr,drago,0.4519828259944916
C:\hdr_perceptual\data\hdr_exr\Lab Booth.exr,filmic,0.4908893406391144
C:\hdr_perceptual\data\hdr_exr\Lab Booth.exr,gamma,1.4821828603744507
C:\hdr_perceptual\data\hdr_exr\Lab Booth.exr,reinhard_local,0.15902477502822876
C:\hdr_perceptual\data\hdr_exr\Lab Typwriter.exr,reinhard,1.2910172939300537
C:\hdr_perceptual\data\hdr_exr\Lab Typwriter.exr,drago,0.9216600656509399
C:\hdr_perceptual\data\hdr_exr\Lab Typwriter.exr,filmic,1.3084455728530884
C:\hdr_perceptual\data\hdr_exr\Lab Typwriter.exr,gamma,0.5419442057609558
C:\hdr_perceptual\data\hdr_exr\Lab Typwriter.exr,reinhard_local,1.3043984174728394
C:\hdr_perceptual\data\hdr_exr\Lab Window.exr,reinhard,0.30659282207489014
C:\hdr_perceptual\data\hdr_exr\Lab Window.exr,drago,0.3721596896648407
C:\hdr_perceptual\data\hdr_exr\Lab Window.exr,filmic,0.20589278638362885
